iter	Passed	Remaining
0	55	55246
1	55	27750
2	55	18576
3	56	13986
4	56	11237
5	56	9405
6	57	8100
7	57	7113
8	57	6346
9	57	5734
10	58	5234
11	58	4820
12	58	4465
13	59	4173
14	59	3911
15	59	3682
16	60	3477
17	60	3295
18	60	3134
19	60	2988
20	61	2856
21	61	2735
22	61	2625
23	62	2524
24	62	2433
25	62	2354
26	63	2277
27	63	2203
28	63	2135
29	64	2072
30	64	2012
31	64	1955
32	64	1902
33	65	1852
34	65	1805
35	65	1760
36	66	1718
37	66	1678
38	66	1640
39	66	1603
40	67	1569
41	67	1536
42	67	1506
43	67	1476
44	68	1448
45	68	1421
46	68	1395
47	69	1370
48	69	1346
49	69	1323
50	69	1301
51	70	1280
52	70	1259
53	71	1252
54	72	1242
55	72	1224
56	72	1206
57	73	1189
58	73	1173
59	73	1156
60	74	1140
61	74	1126
62	74	1111
63	75	1097
64	75	1083
65	75	1070
66	75	1057
67	76	1044
68	76	1032
69	76	1019
70	77	1007
71	77	996
72	77	985
73	77	974
74	78	963
75	78	953
76	78	943
77	78	933
78	79	924
79	79	915
80	79	906
81	80	897
82	80	886
83	80	878
84	80	870
85	81	862
86	81	854
87	81	846
88	81	839
89	82	831
90	82	824
91	82	817
92	83	810
93	83	803
94	83	797
95	83	790
96	84	784
97	84	778
98	84	772
99	85	766
100	85	759
101	85	753
102	85	748
103	86	742
104	86	736
105	86	731
106	86	725
107	87	720
108	87	717
109	88	712
110	88	707
111	88	702
112	88	697
113	89	692
114	89	688
115	89	683
116	89	678
117	90	674
118	90	669
119	90	665
120	90	660
121	91	656
122	91	651
123	91	648
124	92	644
125	92	640
126	92	635
127	92	631
128	93	628
129	93	624
130	93	621
131	93	617
132	94	614
133	94	610
134	94	607
135	95	604
136	95	600
137	95	597
138	95	594
139	96	590
140	96	587
141	96	583
142	96	580
143	97	577
144	97	574
145	97	571
146	98	568
147	98	565
148	98	562
149	98	560
150	99	557
151	99	554
152	99	551
153	99	549
154	100	546
155	100	544
156	101	542
157	101	540
158	101	537
159	101	535
160	102	531
161	102	529
162	102	526
163	102	524
164	103	521
165	103	519
166	103	517
167	103	514
168	104	512
169	104	509
170	104	507
171	105	505
172	105	503
173	105	501
174	105	498
175	106	496
176	106	494
177	106	492
178	106	489
179	107	487
180	107	485
181	107	483
182	107	481
183	108	479
184	108	477
185	108	475
186	108	473
187	109	471
188	109	469
189	109	467
190	110	466
191	110	464
192	110	462
193	110	460
194	111	458
195	111	456
196	111	455
197	111	453
198	112	451
199	112	449
200	112	448
201	112	446
202	113	444
203	113	442
204	113	441
205	114	439
206	114	437
207	114	436
208	114	434
209	115	432
